time,F_base_x,F_base_y,F_base_z,L0_body_front_x,L0_body_front_y,L0_body_front_z,L1_body_rear_x,L1_body_rear_y,L1_body_rear_z,Lrl1_hip_roll_x,Lrl1_hip_roll_y,Lrl1_hip_roll_z,Lrl2_hip_pitch_x,Lrl2_hip_pitch_y,Lrl2_hip_pitch_z,Lrl3_knee_x,Lrl3_knee_y,Lrl3_knee_z,Lrl4_wheel_x,Lrl4_wheel_y,Lrl4_wheel_z,Lrl4_wheel_contact_x,Lrl4_wheel_contact_y,Lrl4_wheel_contact_z,Lrr1_hip_roll_x,Lrr1_hip_roll_y,Lrr1_hip_roll_z,Lrr2_hip_pitch_x,Lrr2_hip_pitch_y,Lrr2_hip_pitch_z,Lrr3_knee_x,Lrr3_knee_y,Lrr3_knee_z,Lrr4_wheel_x,Lrr4_wheel_y,Lrr4_wheel_z,Lrr4_wheel_contact_x,Lrr4_wheel_contact_y,Lrr4_wheel_contact_z,Lfl1_hip_roll_x,Lfl1_hip_roll_y,Lfl1_hip_roll_z,Lfl2_hip_pitch_x,Lfl2_hip_pitch_y,Lfl2_hip_pitch_z,Lfl3_knee_x,Lfl3_knee_y,Lfl3_knee_z,Lfl4_wheel_x,Lfl4_wheel_y,Lfl4_wheel_z,Lfl4_wheel_contact_x,Lfl4_wheel_contact_y,Lfl4_wheel_contact_z,Lfr1_hip_roll_x,Lfr1_hip_roll_y,Lfr1_hip_roll_z,Lfr2_hip_pitch_x,Lfr2_hip_pitch_y,Lfr2_hip_pitch_z,Lfr3_knee_x,Lfr3_knee_y,Lfr3_knee_z,Lfr4_wheel_x,Lfr4_wheel_y,Lfr4_wheel_z,Lfr4_wheel_contact_x,Lfr4_wheel_contact_y,Lfr4_wheel_contact_z
0,0,0,0,0,0,0,0,0,0,5.34195331028e-34,1.09565356255e-43,-1.09565326601e-43,-4.97409020487e-24,2.42516117669e-14,1.3462348884e-30,4.49954327735e-24,-2.19379167188e-14,-1.21779901267e-30,4.49954327735e-24,-2.19379167188e-14,-1.21779901267e-30,4.49954327735e-24,-2.19379167188e-14,-1.21779901267e-30,5.34195331028e-34,1.09565356255e-43,-1.09565326601e-43,-4.97409020487e-24,2.42516117669e-14,1.3462348884e-30,4.49954327735e-24,-2.19379167188e-14,-1.21779901267e-30,4.49954327735e-24,-2.19379167188e-14,-1.21779901267e-30,4.49954327735e-24,-2.19379167188e-14,-1.21779901267e-30,8.90325198624e-35,1.82608854671e-44,-1.82608805248e-44,-8.29014998752e-25,4.04193512193e-15,2.2437247182e-31,7.49923860473e-25,-3.65631936008e-15,-2.02966496947e-31,7.49923860473e-25,-3.65631936008e-15,-2.02966496947e-31,7.49923860473e-25,-3.65631936008e-15,-2.02966496947e-31,8.90325701053e-35,1.82608957721e-44,-1.82608908298e-44,-8.29015034145e-25,4.04193529449e-15,2.24372481399e-31,7.49923879558e-25,-3.65631945313e-15,-2.02966502112e-31,7.49923879558e-25,-3.65631945313e-15,-2.02966502112e-31,7.49923879558e-25,-3.65631945313e-15,-2.02966502112e-31
0.01,0.000108340632612,0.0130987675567,-8.54027423647e-05,0.000108340632612,0.0130987675567,-8.54027423647e-05,0.000108340632612,0.0130987675567,-8.54027423647e-05,-0.00030494364297,0.0130987677202,-8.53734693556e-05,-0.000304950684325,-0.00469886221296,-8.53495047304e-05,-0.000304944378888,0.0112386717616,-8.53709647242e-05,-0.000304944378888,0.0112386717616,-8.53709647242e-05,-0.000304944378888,0.0112386717616,-8.53709647242e-05,-0.000304943332185,0.0130987677202,-8.53734693776e-05,-0.000304950535553,-0.00510836271767,-8.53489533598e-05,-0.000304943988587,0.011439657346,-8.53712353749e-05,-0.000304943988587,0.011439657346,-8.53712353749e-05,-0.000304943988587,0.011439657346,-8.53712353749e-05,-0.000220334109959,0.0130987676867,-8.5379462266e-05,-0.000220331363463,0.0200402838293,-8.53860854967e-05,-0.0002203437007,-0.011140951532,-8.53563339968e-05,-0.0002203437007,-0.011140951532,-8.53563339968e-05,-0.0002203437007,-0.011140951532,-8.53563339968e-05,-0.000220333974164,0.0130987676867,-8.53794622756e-05,-0.000220331344923,0.0197439338966,-8.53858027463e-05,-0.000220343525891,-0.0110423494721,-8.5356428082e-05,-0.000220343525891,-0.0110423494721,-8.5356428082e-05,-0.000220343525891,-0.0110423494721,-8.5356428082e-05
0.02,1.87217488528e-05,0.0206334229719,-0.00019675707585,1.87217488528e-05,0.0206334229719,-0.00019675707585,1.87217488528e-05,0.0206334229719,-0.00019675707585,-0.000788522144009,0.0206334244183,-0.000196560582413,-0.000788567240227,-0.00455733310009,-0.000196392007888,-0.000788531977836,0.0151402461413,-0.000196523822506,-0.000788531977836,0.0151402461413,-0.000196523822506,-0.000788531977836,0.0151402461413,-0.000196523822506,-0.00078851835802,0.0206334244183,-0.000196560583335,-0.000788565619728,-0.00576697637367,-0.00019638391398,-0.000788526931325,0.0158443741513,-0.000196528535397,-0.000788526931325,0.0158443741513,-0.000196528535397,-0.000788526931325,0.0158443741513,-0.000196528535397,-0.000593758213117,0.0206334240694,-0.000196607990433,-0.000593733632599,0.0343607928035,-0.000196675482401,-0.000593831092638,-0.0200672676888,-0.000196407881448,-0.000593831092638,-0.0200672676888,-0.000196407881448,-0.000593831092638,-0.0200672676888,-0.000196407881448,-0.000593756028096,0.0206334240693,-0.000196607990965,-0.000593733146042,0.0334122598864,-0.000196670819386,-0.00059382807032,-0.0195996662919,-0.000196410180961,-0.00059382807032,-0.0195996662919,-0.000196410180961,-0.00059382807032,-0.0195996662919,-0.000196410180961
0.03,-0.000198779541195,0.024176533784,-0.000311081382142,-0.000198779541195,0.024176533784,-0.000311081382142,-0.000198779541195,0.024176533784,-0.000311081382142,-0.00138560623218,0.0241765389234,-0.00031052327833,-0.00138571563617,-0.00113609565643,-0.000310080642905,-0.00138565064229,0.0139014399,-0.000310343600359,-0.00138565064229,0.0139014399,-0.000310343600359,-0.00138565064229,0.0139014399,-0.000310343600359,-0.00138558691054,0.0241765389233,-0.000310523287416,-0.00138570603039,-0.00338403795026,-0.000310041344633,-0.00138562519528,0.0153186565595,-0.000310368392528,-0.00138562519528,0.0153186565595,-0.000310368392528,-0.00138562519528,0.0153186565595,-0.000310368392528,-0.00107803555245,0.0241765375915,-0.000310667913069,-0.00107794815635,0.0443878123135,-0.000310934701423,-0.0010782580703,-0.0272830791547,-0.000309988647332,-0.0010782580703,-0.0272830791547,-0.000309988647332,-0.0010782580703,-0.0272830791547,-0.000309988647332,-0.00107802345197,0.0241765375914,-0.000310667918759,-0.00107794398474,0.0425541796295,-0.000310910502507,-0.00107824146733,-0.0262418286487,-0.000310002399418,-0.00107824146733,-0.0262418286487,-0.000310002399418,-0.00107824146733,-0.0262418286487,-0.000310002399418
0.04,-0.000492719356473,0.0249302172847,-0.000419172072403,-0.000492719356473,0.0249302172847,-0.000419172072403,-0.000492719356473,0.0249302172847,-0.000419172072403,-0.00205015844027,0.024930229729,-0.000418054307229,-0.00205032259028,0.0043222175017,-0.000417340762332,-0.00205028435926,0.00912188430948,-0.000417506949042,-0.00205028435926,0.00912188430948,-0.000417506949042,-0.00205028435926,0.00912188430948,-0.000417506949042,-0.00205009806627,0.0249302297285,-0.000418054350559,-0.00205028946526,0.000901278576351,-0.000417222366027,-0.00205020594526,0.0113866937731,-0.000417585415717,-0.00205020594526,0.0113866937731,-0.000417585415717,-0.00205020594526,0.0113866937731,-0.000417585415717,-0.00163622361465,0.0249302264215,-0.000418351385899,-0.00163601452751,0.0511611401712,-0.00041905235999,-0.00163668738392,-0.0332516973607,-0.00041679657841,-0.00163668738392,-0.0332516973607,-0.00041679657841,-0.00163668738392,-0.0332516973607,-0.00041679657841,-0.00163618396543,0.0249302264212,-0.000418351414355,-0.00163599767507,0.0483011818876,-0.000418975955652,-0.00163663374778,-0.0314969754425,-0.000416843512042,-0.00163663374778,-0.0314969754425,-0.000416843512042,-0.00163663374778,-0.0314969754425,-0.000416843512042
0.05,-0.000823770584041,0.0238134689869,-0.000508601873076,-0.000823770584041,0.0238134689869,-0.000508601873076,-0.000823770584041,0.0238134689869,-0.000508601873076,-0.00274184125777,0.0238134932456,-0.000506755418271,-0.00274200410107,0.0108802333555,-0.000505997891278,-0.00274211537627,0.00204258945034,-0.000505480252735,-0.00274211537627,0.00204258945034,-0.000505480252735,-0.00274211537627,0.00204258945034,-0.000505480252735,-0.00274169976811,0.0238134932438,-0.000506755554478,-0.0027419210037,0.00624263133566,-0.000505726416139,-0.00274193373419,0.00523155694691,-0.000505667196767,-0.00274193373419,0.00523155694691,-0.000505667196767,-0.00274193373419,0.00523155694691,-0.000505667196767,-0.00224021389809,0.0238134869013,-0.000507238316144,-0.00223981461103,0.0554952061252,-0.000508698198453,-0.00224099692368,-0.0383162420376,-0.000504375400422,-0.00224099692368,-0.0383162420376,-0.000504375400422,-0.00224099692368,-0.0383162420376,-0.000504375400422,-0.00224011748121,0.0238134869,-0.000507238408961,-0.00223976801434,0.0515421854533,-0.000508516114485,-0.00224086817753,-0.0357510491299,-0.000504493745827,-0.00224086817753,-0.0357510491299,-0.000504493745827,-0.00224086817753,-0.0357510491299,-0.000504493745827
0.06,-0.00116319165343,0.0215133958849,-0.000570400459674,-0.00116319165343,0.0215133958849,-0.000570400459674,-0.00116319165343,0.0215133958849,-0.000570400459674,-0.00342935197266,0.0215134368354,-0.00056770360289,-0.00342941769896,0.0178546563663,-0.000567376370837,-0.00342985326341,-0.00639187532627,-0.00056520782249,-0.00342985326341,-0.00639187532627,-0.00056520782249,-0.00342985326341,-0.00639187532627,-0.00056520782249,-0.00342907640893,0.0215134368304,-0.000567703930826,-0.00342924684211,0.0120259488879,-0.000566855424386,-0.00342950324647,-0.00224728955193,-0.000565578907904,-0.00342950324647,-0.00224728955193,-0.000565578907904,-0.00342950324647,-0.00224728955193,-0.000565578907904,-0.00286747950105,0.0215134266821,-0.000568372262372,-0.00286682294418,0.0580188129354,-0.000570986426095,-0.00286863474321,-0.0427194886358,-0.000563772520409,-0.00286863474321,-0.0427194886358,-0.000563772520409,-0.00286863474321,-0.0427194886358,-0.000563772520409,-0.00286728528981,0.0215134266786,-0.000568372493494,-0.00286671966495,0.052962874928,-0.000570624531506,-0.00286837868131,-0.0392805054817,-0.000564019150155,-0.00286837868131,-0.0392805054817,-0.000564019150155,-0.00286837868131,-0.0392805054817,-0.000564019150155
0.07,-0.00149182798486,0.0185331561437,-0.000603889937961,-0.00149182798486,0.0185331561437,-0.000603889937961,-0.00149182798486,0.0185331561437,-0.000603889937961,-0.00409270723281,0.0185332185056,-0.000600272919391,-0.00409255904615,0.0247594159395,-0.000601064098581,-0.00409351656135,-0.0154714576516,-0.000595951856265,-0.00409351656135,-0.0154714576516,-0.000595951856265,-0.00409351656135,-0.0154714576516,-0.000595951856265,-0.00409223481315,0.0185332184943,-0.00060027357638,-0.00409225212528,0.017805833961,-0.000600181150659,-0.00409292285498,-0.010375474636,-0.00059660026922,-0.00409292285498,-0.010375474636,-0.00059660026922,-0.00409292285498,-0.010375474636,-0.00059660026922,-0.00349859293747,0.0185332042604,-0.000601099148613,-0.0034976236029,0.0592045357374,-0.000605306503281,-0.00350014574594,-0.0466195195174,-0.000594359250839,-0.00350014574594,-0.0466195195174,-0.000594359250839,-0.00350014574594,-0.0466195195174,-0.000594359250839,-0.00349824918933,0.0185332042521,-0.000601099626661,-0.0034974259435,0.0530749357778,-0.000604672725408,-0.00349969851163,-0.0422774310432,-0.000594809194909,-0.00349969851163,-0.0422774310432,-0.000594809194909,-0.00349969851163,-0.0422774310432,-0.000594809194909
0.08,-0.00179960345361,0.0152326398855,-0.000621797369617,-0.00179960345361,0.0152326398855,-0.000621797369617,-0.00179960345361,0.0152326398855,-0.000621797369617,-0.00472563656109,0.0152327280864,-0.00061723372386,-0.00472515769744,0.0312608225635,-0.00061997768488,-0.00472682861634,-0.0246666758322,-0.000610403067275,-0.00472682861634,-0.0246666758322,-0.000610403067275,-0.00472682861634,-0.0246666758322,-0.000610403067275,-0.00472489687052,0.0152327280641,-0.000617234877533,-0.00472465724265,0.0232533315714,-0.000618607878866,-0.00472590926456,-0.0186531948755,-0.000611434139803,-0.00472590926456,-0.0186531948755,-0.000611434139803,-0.00472590926456,-0.0186531948755,-0.000611434139803,-0.00411455947306,0.0152327096664,-0.000618186802399,-0.00411323796416,0.0593966790755,-0.000624437460724,-0.00411651444621,-0.050101223297,-0.000608939895986,-0.00411651444621,-0.050101223297,-0.000608939895986,-0.00411651444621,-0.050101223297,-0.000608939895986,-0.00411400582917,0.0152327096497,-0.000618187665901,-0.00411289836224,0.0522435179949,-0.000623425580952,-0.00411580429423,-0.044870796418,-0.000609681581513,-0.00411580429423,-0.044870796418,-0.000609681581513,-0.00411580429423,-0.044870796418,-0.000609681581513
0.09,-0.002075882441,0.0118679022165,-0.000607355437154,-0.002075882441,0.0118679022165,-0.000607355437154,-0.002075882441,0.0118679022165,-0.000607355437154,-0.00530612551585,0.0118680195965,-0.000601879696673,-0.00530521659681,0.0371420916572,-0.000607475336839,-0.00530776114952,-0.0336136139478,-0.000591810133886,-0.00530776114952,-0.0336136139478,-0.000591810133886,-0.00530776114952,-0.0336136139478,-0.000591810133886,-0.00530504789528,0.0118680195573,-0.000601881523399,-0.0053044604534,0.0282028443268,-0.000605497675786,-0.00530643596442,-0.0267296132424,-0.000593336900242,-0.00530643596442,-0.0267296132424,-0.000593336900242,-0.00530643596442,-0.0267296132424,-0.000593336900242,-0.00470992604673,0.0118679979319,-0.000602890343083,-0.0047082326014,0.0588780410387,-0.000611619253088,-0.00471227192365,-0.053253546267,-0.000590798456731,-0.00471227192365,-0.053253546267,-0.000590798456731,-0.00471227192365,-0.053253546267,-0.000590798456731,-0.00470909624737,0.0118679979017,-0.000602891749716,-0.00470769452125,0.0507798865252,-0.000610116364751,-0.0047112219642,-0.0471418583159,-0.000591935625264,-0.0047112219642,-0.0471418583159,-0.000591935625264,-0.0047112219642,-0.0471418583159,-0.000591935625264
