time,Jfl1_hip_roll,Jfl2_hip_pitch,Jfl3_knee,Jfr1_hip_roll,Jfr2_hip_pitch,Jfr3_knee,Jrl1_hip_roll,Jrl2_hip_pitch,Jrl3_knee,Jrr1_hip_roll,Jrr2_hip_pitch,Jrr3_knee
0,9.38776641624e-19,3.5527136788e-15,-7.1054273576e-15,-4.72208073173e-19,-3.5527136788e-15,7.1054273576e-15,-1.06700844745e-20,2.36847578587e-14,-4.73695157173e-14,-1.95297924081e-17,-2.36847578587e-14,4.73695157173e-14
0.01,-0.000340000946212,0.0280147497161,-0.0665664239744,-0.00033999610795,-0.0270583837315,0.0636096996621,-0.000227120186372,0.00244133117088,-0.0178607406157,-0.000227122066958,-0.00224099289385,0.0163438281
0.02,-0.000839468301658,0.0630611687456,-0.126856508157,-0.000839397352175,-0.0604139507733,0.118401703486,-0.000866027823035,0.0347079022307,-0.0728658166331,-0.000866054842464,-0.0343295813377,0.0687320663372
0.03,-0.00234178745246,0.0988302528177,-0.183103701857,-0.00234140028322,-0.0951651100075,0.168414279031,-0.00151178194706,0.0764979057368,-0.140597791017,-0.00151194675103,-0.0779500161879,0.13565309095
0.04,-0.0045220184733,0.133874440696,-0.235239558094,-0.00452081788563,-0.129654958108,0.214950931573,-0.00160624375736,0.12209635894,-0.212852320194,-0.00160681954692,-0.125994046525,0.20801604061
0.05,-0.00604749472819,0.166463477428,-0.284216773431,-0.00604492656098,-0.161355950505,0.259045460402,-0.00168412136477,0.168370110923,-0.287896554679,-0.00168541067906,-0.173467069644,0.28213860194
0.06,-0.0061136959057,0.195084729772,-0.325659245992,-0.00610963819468,-0.18823178566,0.297110412048,-0.00165773213396,0.212523714572,-0.35889817864,-0.00165968225017,-0.215876370936,0.349743138246
0.07,-0.00514450852621,0.221298147817,-0.365403872977,-0.00513886421972,-0.211978904864,0.333127579889,-0.00215959359958,0.252199677722,-0.424229748097,-0.00216205610482,-0.252415503745,0.410045307836
0.08,-0.0046195627288,0.245505310129,-0.404008578312,-0.00461190358686,-0.233633694399,0.367304508093,-0.00248934016181,0.288226516325,-0.485260553625,-0.00249241989152,-0.285584041534,0.466038025846
0.09,-0.00506449516272,0.266471018003,-0.438441213727,-0.00505402262838,-0.252518856505,0.397006876486,-0.00245348474328,0.3189890645,-0.538238483419,-0.00245757782663,-0.31475926205,0.515191830475
0.1,-0.00590517731411,0.283885757531,-0.468811942835,-0.00589091166165,-0.26821779513,0.422483222827,-0.00245521812331,0.343897382593,-0.582747395185,-0.00246078592983,-0.33901011655,0.556781429353
0.11,-0.00670907092022,0.297745294814,-0.494229800805,-0.00669048129922,-0.280495927699,0.443802023133,-0.00222661161115,0.363608321722,-0.619159713842,-0.00223386341637,-0.357843677771,0.590392729692
0.12,-0.00706795386072,0.308372128665,-0.515031127782,-0.00704462662802,-0.289459765079,0.460934833832,-0.00215198525524,0.37844449272,-0.647819456796,-0.00216104544492,-0.371340634835,0.615959043278
0.13,-0.00724316164432,0.316177664865,-0.531605881188,-0.00721481973489,-0.295647061448,0.474432907793,-0.00200825627866,0.38903709534,-0.669541279086,-0.00201923920884,-0.380313026787,0.634562683772
0.14,-0.00743552051558,0.321399292325,-0.544246413499,-0.00740178072828,-0.299400385947,0.484413140815,-0.00178184651762,0.395839137826,-0.685034226903,-0.00179496550681,-0.385564208997,0.647203354464
0.15,-0.0077638111889,0.324201384522,-0.553042578603,-0.00772420620178,-0.300973077168,0.490922259674,-0.00145974796781,0.399129742298,-0.694612710204,-0.00147528914682,-0.387597902615,0.654409213056
0.16,-0.00820802207542,0.324859463024,-0.558305654529,-0.00816213511373,-0.300620456416,0.494275188445,-0.00104028038842,0.39945373153,-0.699103982919,-0.00105851998918,-0.386909525749,0.656955744039
0.17,-0.00866944409928,0.323573099517,-0.560265376907,-0.00861692458465,-0.298475732995,0.494629249842,-0.000594766824116,0.397196987553,-0.69909503607,-0.00061594570871,-0.383783325635,0.65529106168
0.18,-0.009097505043,0.32057558785,-0.559108582574,-0.00903821755643,-0.294756355227,0.492263705182,-0.000111614211026,0.392727160619,-0.695029666345,-0.000135894734372,-0.378492172291,0.64980293247
