time,Jfl1_hip_roll,Jfl2_hip_pitch,Jfl3_knee,Jfr1_hip_roll,Jfr2_hip_pitch,Jfr3_knee,Jrl1_hip_roll,Jrl2_hip_pitch,Jrl3_knee,Jrr1_hip_roll,Jrr2_hip_pitch,Jrr3_knee
0,4.00646567585e-35,1.81887080487e-15,-3.4642145169e-15,4.00645032126e-35,-1.81887088252e-15,3.46421463643e-15,-2.31483796339e-34,1.05090317657e-14,-2.00154623438e-14,-2.31483796339e-34,-1.05090317657e-14,2.00154623438e-14
0.01,-0.000375931581883,0.0136409864454,-0.0420247550775,-0.000375931172697,-0.0135464943318,0.0411337466659,2.07578461e-05,-0.0107225760724,0.00437766847177,2.07575412522e-05,0.0103431398119,-0.00436612081574
0.02,-0.000870125786313,0.0306055331117,-0.0958387978047,-0.000870117215771,-0.0302778719824,0.0936338490572,8.05407991038e-05,-0.0239885175227,0.00813901822956,8.0534893225e-05,0.0232648398285,-0.00834087023369
0.03,-0.00119808531329,0.0567275428976,-0.144096737274,-0.00119802654093,-0.0551580073805,0.138031392574,-0.000338489467994,0.000328754662185,-0.036689171305,-0.000338519272409,-0.000799119305368,0.0345112756169
0.04,-0.00150657638968,0.0853328579314,-0.190793906085,-0.00150635406677,-0.0821052297916,0.179900190852,-0.000865450005571,0.0356867704728,-0.0962736511674,-0.000865547840559,-0.0355942922964,0.091354766688
0.05,-0.00184460880226,0.114905155378,-0.23604281087,-0.00184401615318,-0.109800008328,0.219835593107,-0.00139833469296,0.0769817763752,-0.16388595313,-0.00139857610583,-0.0761426688711,0.155807269527
0.06,-0.00223127094784,0.144126910775,-0.279258101921,-0.00222999409739,-0.137013692973,0.257452359141,-0.00190358910256,0.120589860688,-0.23453796291,-0.00190408758164,-0.118890701743,0.223044068621
0.07,-0.00267262035155,0.172080999808,-0.320040226698,-0.00267024218752,-0.162929496557,0.292613455778,-0.00234023883423,0.163820922232,-0.304442321754,-0.00234114644804,-0.161204110169,0.28945425629
0.08,-0.00317572269413,0.198110076411,-0.357980632158,-0.00317173056053,-0.18695567448,0.325060951835,-0.00268888470724,0.204883782649,-0.371021614554,-0.00269039208077,-0.201343146317,0.352583127798
0.09,-0.00370270488625,0.221813100188,-0.392819457805,-0.0036965395205,-0.208724366014,0.354749479027,-0.0029119960711,0.242543661903,-0.43242208386,-0.00291431490134,-0.238008894814,0.410605616997
0.1,-0.00426577553239,0.242896181039,-0.424261172774,-0.00425683368923,-0.227988700895,0.381424431654,-0.00302148018886,0.2761200145,-0.48760898582,-0.0030248474837,-0.270601952295,0.462593061165
0.11,-0.00485506332136,0.261234265362,-0.452137685394,-0.0048427203846,-0.244631529328,0.404933810528,-0.00302632765283,0.305272224279,-0.536004151601,-0.00303099786321,-0.298790011339,0.507984627101
0.12,-0.00544112148102,0.276817116711,-0.476418184573,-0.0054248020203,-0.258662630609,0.425367808293,-0.00291389874743,0.329834803447,-0.577284430074,-0.00292011879163,-0.322373881408,0.546476912687
0.13,-0.00603095194737,0.289655474933,-0.497014143344,-0.00601009744494,-0.270097345414,0.442582398771,-0.00270858222916,0.349946758729,-0.611609948503,-0.00271660529997,-0.341539558235,0.578256306247
0.14,-0.00661582082753,0.299850957999,-0.513952027762,-0.00658990653846,-0.279025223751,0.456561457416,-0.00242818934496,0.365834172488,-0.639249642569,-0.0024382673895,-0.356513740596,0.60357439317
0.15,-0.00717496929698,0.307567389815,-0.527419374612,-0.00714358327627,-0.285629005296,0.467571395923,-0.00207112121223,0.377679394027,-0.66043292572,-0.00208347587881,-0.367469207368,0.622686732125
0.16,-0.0077166611042,0.312929751845,-0.537463534817,-0.0076794259734,-0.290018123562,0.47556540187,-0.00166068247263,0.385895837869,-0.675761458914,-0.00167553254312,-0.374845657165,0.636181352304
0.17,-0.00823270551974,0.316123942061,-0.544246946062,-0.00818929358587,-0.292356092298,0.480642345214,-0.0012149362847,0.390851801285,-0.685749949088,-0.00123248977428,-0.379002342356,0.644535664894
0.18,-0.00870897304059,0.317372884945,-0.548086385606,-0.0086592018452,-0.292892839052,0.483194454197,-0.000735188514582,0.392781298077,-0.690741958202,-0.000755605343466,-0.380183636709,0.648138221122
0.19,-0.00915626617542,0.316824423885,-0.549095341163,-0.00909997616683,-0.291753288877,0.48323466566,-0.00023867708894,0.392127853282,-0.691416620528,-0.00026211172564,-0.378846992697,0.647638018161
0.2,-0.00956615121851,0.31467698516,-0.5475015807,-0.009503225507,-0.289108576085,0.480923613268,0.000258866427353,0.389235112058,-0.688280829745,0.000232274450446,-0.375318537504,0.643493833348
0.21,-0.00992592630984,0.311159124036,-0.543666561211,-0.00985642270457,-0.285222717669,0.47671323123,0.00075679045473,0.384294441559,-0.681628924448,0.000726970960714,-0.369808950784,0.636060557572
0.22,-0.0102488732525,0.306399901591,-0.537714727358,-0.0101728560116,-0.280201508567,0.470636667857,0.00124500161003,0.377691735811,-0.672074339525,0.00121189193886,-0.362711465568,0.625918303681
0.23,-0.0105253666896,0.300577982604,-0.529885636752,-0.0104429266461,-0.274191608744,0.462863828169,0.00170949203849,0.369698507431,-0.660033989005,0.00167304502613,-0.354271489009,0.613425635009
0.24,-0.0107421055516,0.293902393427,-0.520524709958,-0.0106535444157,-0.267445318431,0.453848776279,0.00215046219895,0.360451034605,-0.645716785836,0.00211072535967,-0.3446502119,0.598865703805
