row,col,x,y,z
183,0,-3.34,1.98,0
184,0,-3.38,1.98,0
185,0,-3.42,1.98,0
186,0,-3.46,1.98,0
187,0,-3.5,1.98,0
188,0,-3.54,1.98,0
189,0,-3.58,1.98,0
190,0,-3.62,1.98,0
191,0,-3.66,1.98,0
192,0,-3.7,1.98,0
193,0,-3.74,1.98,0
194,0,-3.78,1.98,0
195,0,-3.82,1.98,0
196,0,-3.86,1.98,0
197,0,-3.9,1.98,0
198,0,-3.94,1.98,0
199,0,-3.98,1.98,0
0,1,3.98,1.94,0
1,1,3.94,1.94,0
2,1,3.9,1.94,0
3,1,3.86,1.94,0
4,1,3.82,1.94,0
5,1,3.78,1.94,0
6,1,3.74,1.94,0
7,1,3.7,1.94,0
8,1,3.66,1.94,0
9,1,3.62,1.94,0
10,1,3.58,1.94,0
11,1,3.54,1.94,0
12,1,3.5,1.94,0
13,1,3.46,1.94,0
14,1,3.42,1.94,0
15,1,3.38,1.94,0
16,1,3.34,1.94,0
17,1,3.3,1.94,0
18,1,3.26,1.94,0
19,1,3.22,1.94,0
20,1,3.18,1.94,0
21,1,3.14,1.94,0
22,1,3.1,1.94,0
23,1,3.06,1.94,0
24,1,3.02,1.94,0
25,1,2.98,1.94,0
26,1,2.94,1.94,0
27,1,2.9,1.94,0
28,1,2.86,1.94,0
29,1,2.82,1.94,0
30,1,2.78,1.94,0
31,1,2.74,1.94,0
32,1,2.7,1.94,0
33,1,2.66,1.94,0
34,1,2.62,1.94,0
35,1,2.58,1.94,0
36,1,2.54,1.94,0
37,1,2.5,1.94,0
38,1,2.46,1.94,0
39,1,2.42,1.94,0
40,1,2.38,1.94,0
41,1,2.34,1.94,0
42,1,2.3,1.94,0
43,1,2.26,1.94,0
44,1,2.22,1.94,0
45,1,2.18,1.94,0
46,1,2.14,1.94,0
47,1,2.1,1.94,0
48,1,2.06,1.94,0
49,1,2.02,1.94,0.370000004768
50,1,1.98,1.94,0.370000004768
51,1,1.94,1.94,0.34999999404
52,1,1.9,1.94,0.34999999404
53,1,1.86,1.94,0.34999999404
