time,F_base_w,F_base_x,F_base_y,F_base_z,L0_body_front_w,L0_body_front_x,L0_body_front_y,L0_body_front_z,L1_body_rear_w,L1_body_rear_x,L1_body_rear_y,L1_body_rear_z,Lrl1_hip_roll_w,Lrl1_hip_roll_x,Lrl1_hip_roll_y,Lrl1_hip_roll_z,Lrl2_hip_pitch_w,Lrl2_hip_pitch_x,Lrl2_hip_pitch_y,Lrl2_hip_pitch_z,Lrl3_knee_w,Lrl3_knee_x,Lrl3_knee_y,Lrl3_knee_z,Lrl4_wheel_w,Lrl4_wheel_x,Lrl4_wheel_y,Lrl4_wheel_z,Lrl4_wheel_contact_w,Lrl4_wheel_contact_x,Lrl4_wheel_contact_y,Lrl4_wheel_contact_z,Lrr1_hip_roll_w,Lrr1_hip_roll_x,Lrr1_hip_roll_y,Lrr1_hip_roll_z,Lrr2_hip_pitch_w,Lrr2_hip_pitch_x,Lrr2_hip_pitch_y,Lrr2_hip_pitch_z,Lrr3_knee_w,Lrr3_knee_x,Lrr3_knee_y,Lrr3_knee_z,Lrr4_wheel_w,Lrr4_wheel_x,Lrr4_wheel_y,Lrr4_wheel_z,Lrr4_wheel_contact_w,Lrr4_wheel_contact_x,Lrr4_wheel_contact_y,Lrr4_wheel_contact_z,Lfl1_hip_roll_w,Lfl1_hip_roll_x,Lfl1_hip_roll_y,Lfl1_hip_roll_z,Lfl2_hip_pitch_w,Lfl2_hip_pitch_x,Lfl2_hip_pitch_y,Lfl2_hip_pitch_z,Lfl3_knee_w,Lfl3_knee_x,Lfl3_knee_y,Lfl3_knee_z,Lfl4_wheel_w,Lfl4_wheel_x,Lfl4_wheel_y,Lfl4_wheel_z,Lfl4_wheel_contact_w,Lfl4_wheel_contact_x,Lfl4_wheel_contact_y,Lfl4_wheel_contact_z,Lfr1_hip_roll_w,Lfr1_hip_roll_x,Lfr1_hip_roll_y,Lfr1_hip_roll_z,Lfr2_hip_pitch_w,Lfr2_hip_pitch_x,Lfr2_hip_pitch_y,Lfr2_hip_pitch_z,Lfr3_knee_w,Lfr3_knee_x,Lfr3_knee_y,Lfr3_knee_z,Lfr4_wheel_w,Lfr4_wheel_x,Lfr4_wheel_y,Lfr4_wheel_z,Lfr4_wheel_contact_w,Lfr4_wheel_contact_x,Lfr4_wheel_contact_y,Lfr4_wheel_contact_z
0,1,0,0,0,0.499999999897,0.5,0.500000000103,0.5,0.499999999897,0.5,0.500000000103,0.5,0.499999999897,0.5,0.500000000103,0.5,0.6764793733,0.205853485268,0.20585348531,0.676479373439,0.360754231129,0.608158190457,0.608158190582,0.360754231203,0.360754231129,0.608158190457,0.608158190582,0.360754231203,0.360754231129,0.608158190457,0.608158190582,0.360754231203,0.499999999897,0.5,0.500000000103,0.5,0.6764793733,0.205853485268,0.20585348531,0.676479373439,0.360754231129,0.608158190457,0.608158190582,0.360754231203,0.360754231129,0.608158190457,0.608158190582,0.360754231203,0.360754231129,0.608158190457,0.608158190582,0.360754231203,0.499999999897,0.5,0.500000000103,0.5,0.6764793733,0.205853485268,0.20585348531,0.676479373439,0.360754231129,0.608158190457,0.608158190582,0.360754231203,0.360754231129,0.608158190457,0.608158190582,0.360754231203,0.360754231129,0.608158190457,0.608158190582,0.360754231203,0.499999999897,0.5,0.500000000103,0.5,0.6764793733,0.205853485268,0.20585348531,0.676479373439,0.360754231129,0.608158190457,0.608158190582,0.360754231203,0.360754231129,0.608158190457,0.608158190582,0.360754231203,0.360754231129,0.608158190457,0.608158190582,0.360754231203
0.01,0.999999999598,-6.66680851102e-08,2.83667183453e-05,-2.00775012696e-07,0.499985950059,0.500014250211,0.500014116207,0.499985682718,0.499985950059,0.500014250211,0.500014116207,0.499985682718,0.499986331389,0.500013868859,0.500014497559,0.499985301387,0.676473680775,0.205872678725,0.205873718193,0.676473067853,0.360758315894,0.608155932422,0.60815628679,0.360757162382,0.360758315894,0.608155932422,0.60815628679,0.360757162382,0.360758315894,0.608155932422,0.60815628679,0.360757162382,0.499986331388,0.50001386886,0.500014497559,0.499985301388,0.67647395319,0.2058717836,0.205872823067,0.676473340269,0.360757830292,0.608156220481,0.608156574848,0.360756676781,0.360757830292,0.608156220481,0.608156574848,0.360756676781,0.360757830292,0.608156220481,0.608156574848,0.360756676781,0.499986231932,0.500013968322,0.500014398097,0.499985400844,0.67646261173,0.205909046839,0.205909817146,0.676462080655,0.360787661275,0.608138523784,0.608138734659,0.360786749713,0.360787661275,0.608138523784,0.608138734659,0.360786749713,0.360787661275,0.608138523784,0.608138734659,0.360786749713,0.499986231871,0.500013968382,0.500014398036,0.499985400905,0.676462829317,0.205908332008,0.205909102152,0.676462298293,0.360787322055,0.608138725032,0.608138935819,0.36078641064,0.360787322055,0.608138725032,0.608138935819,0.36078641064,0.360787322055,0.608138725032,0.608138935819,0.36078641064
0.02,0.999999995995,-2.91675533753e-06,8.94473967731e-05,-7.79902494889e-07,0.499957122525,0.500043653269,0.500045790225,0.49995342597,0.499957122525,0.500043653269,0.500045790225,0.49995342597,0.499957919737,0.50004285591,0.50004658758,0.499952628752,0.676448474794,0.205956889184,0.205962671636,0.676445562214,0.36080062463,0.608131308617,0.608133616241,0.36079457527,0.36080062463,0.608131308617,0.608133616241,0.36079457527,0.36080062463,0.608131308617,0.608133616241,0.36079457527,0.499957919734,0.500042855912,0.500046587577,0.499952628755,0.676450246518,0.205951070013,0.205956852484,0.676447333989,0.360796833827,0.608133557662,0.608135865244,0.360790784459,0.360796833827,0.608133557662,0.608135865244,0.360790784459,0.360796833827,0.608133557662,0.608135865244,0.360790784459,0.499957533306,0.500043242412,0.50004620108,0.499953015186,0.676413553002,0.206071552398,0.206076288658,0.676410957821,0.360892970947,0.60807651074,0.60807826123,0.360887861846,0.360892970947,0.60807651074,0.60807826123,0.360887861846,0.360892970947,0.60807651074,0.60807826123,0.360887861846,0.499957533216,0.500043242503,0.500046200989,0.499953015276,0.676415112474,0.206066433485,0.206071169521,0.676412517404,0.360889749582,0.608078422606,0.608080172938,0.360884640692,0.360889749582,0.608078422606,0.608080172938,0.360884640692,0.360889749582,0.608078422606,0.608080172938,0.360884640692
0.03,0.999999987827,-1.25945827217e-05,0.000155517240101,-1.5343892938e-06,0.499929299677,0.500072222437,0.500083282733,0.499915170807,0.499929299677,0.500072222437,0.500083282733,0.499915170807,0.499929399773,0.500072122307,0.500083382861,0.499915070708,0.67639500863,0.206134239191,0.20615091638,0.676387660599,0.360915669133,0.608063657885,0.608071030097,0.360899002619,0.360915669133,0.608063657885,0.608071030097,0.360899002619,0.360915669133,0.608063657885,0.608071030097,0.360899002619,0.499929399721,0.500072122359,0.500083382808,0.49991507076,0.676400498616,0.206116223859,0.206132901101,0.676393151073,0.360902873011,0.60807125283,0.608078624615,0.36088620647,0.360902873011,0.60807125283,0.608078624615,0.36088620647,0.360902873011,0.60807125283,0.608078624615,0.36088620647,0.499928640266,0.500072882068,0.500082623115,0.499915830235,0.67633427268,0.206333430001,0.206348049783,0.676327546099,0.361075853895,0.607968552207,0.607974831139,0.361061036341,0.361075853895,0.607968552207,0.607974831139,0.361061036341,0.361075853895,0.607968552207,0.607974831139,0.361061036341,0.49992863932,0.500072883014,0.500082622169,0.499915831181,0.676339344682,0.206316803906,0.206331421292,0.67633261924,0.361064186706,0.607975481263,0.607981758543,0.361049371333,0.361064186706,0.607975481263,0.607981758543,0.361049371333,0.361064186706,0.607975481263,0.607981758543,0.361049371333
0.04,0.99999997759,-3.12196515029e-05,0.000209383392038,-2.05352700362e-06,0.499911933586,0.500090097429,0.500119263656,0.49987866051,0.499911933586,0.500090097429,0.500119263656,0.49987866051,0.499909727254,0.500092304813,0.500117056391,0.499880866979,0.676308019639,0.206420714337,0.206456126798,0.676294180791,0.361123979616,0.607940391883,0.607957260752,0.361089906205,0.361123979616,0.607940391883,0.607957260752,0.361089906205,0.361123979616,0.607940391883,0.607957260752,0.361089906205,0.499909726962,0.500092305105,0.500117056099,0.49988086727,0.676319971224,0.206381552616,0.206416965088,0.676306134667,0.361094625555,0.607957827593,0.607974694395,0.361060552039,0.361094625555,0.607957827593,0.607974694395,0.361060552039,0.361094625555,0.607957827593,0.607974694395,0.361060552039,0.499908712582,0.500093319962,0.50011604129,0.499881881707,0.676226242471,0.206688457779,0.206721119219,0.676213227675,0.36133923034,0.607812479473,0.607827892596,0.361307629862,0.36133923034,0.607812479473,0.607827892596,0.361307629862,0.36133923034,0.607812479473,0.607827892596,0.361307629862,0.49990870924,0.500093323305,0.500116037947,0.499881885049,0.676237633068,0.206651187297,0.206683840412,0.676224622832,0.36131141122,0.607829016839,0.607844423682,0.361279818161,0.36131141122,0.607829016839,0.607844423682,0.361279818161,0.36131141122,0.607829016839,0.607844423682,0.361279818161
0.05,0.99999996926,-5.97558272374e-05,0.000240637761126,-1.82412740664e-06,0.499910455624,0.50009133766,0.500149269463,0.499848875772,0.499910455624,0.50009133766,0.500149269463,0.499848875772,0.499904160821,0.500097636167,0.500142971607,0.499855171271,0.676184971685,0.206822870528,0.206885900052,0.676163004499,0.361436297675,0.607754570883,0.607786453844,0.361377656777,0.361436297675,0.607754570883,0.607786453844,0.361377656777,0.361436297675,0.607754570883,0.607786453844,0.361377656777,0.499904159843,0.500097637146,0.500142970628,0.499855172249,0.676206337562,0.206753004205,0.206816033352,0.676184377697,0.36138173447,0.607787016724,0.607818893005,0.361323093088,0.36138173447,0.607787016724,0.607818893005,0.361323093088,0.36138173447,0.607787016724,0.607818893005,0.361323093088,0.499903263885,0.500098533618,0.500142074235,0.499856068294,0.676091024674,0.207129773151,0.207190366074,0.676069771278,0.361683519636,0.607607478717,0.607638086687,0.361627071772,0.361683519636,0.607607478717,0.607638086687,0.361627071772,0.361683519636,0.607607478717,0.607638086687,0.361627071772,0.499903255905,0.500098541602,0.500142066252,0.499856076274,0.676111888501,0.207061659429,0.207122232905,0.676090647812,0.3616303737,0.607639111147,0.607669702625,0.361573942554,0.3616303737,0.607639111147,0.607669702625,0.361573942554,0.3616303737,0.607639111147,0.607669702625,0.361573942554
0.06,0.999999965458,-9.84801106114e-05,0.000243691946018,-3.51634964222e-07,0.499927552526,0.500072764464,0.500170893042,0.499828720883,0.499927552526,0.500072764464,0.500170893042,0.499828720883,0.499915411981,0.500084913025,0.500158746569,0.499840863534,0.676025372148,0.207340385801,0.207440552824,0.675994140265,0.361856236603,0.607503418429,0.607556692376,0.361765844404,0.361856236603,0.607503418429,0.607556692376,0.361765844404,0.361856236603,0.607503418429,0.607556692376,0.361765844404,0.499915409472,0.500084915536,0.500158744059,0.499840866044,0.676059142606,0.20723024652,0.207330411842,0.676027929121,0.361767230123,0.607556425843,0.607609682912,0.361676836219,0.361767230123,0.607556425843,0.607609682912,0.361676836219,0.361767230123,0.607556425843,0.607609682912,0.361676836219,0.499915251968,0.500085073141,0.500158586478,0.499841023571,0.675930345789,0.207649963086,0.207749682982,0.675899200838,0.362107169844,0.607353881255,0.607406960565,0.362017188444,0.362107169844,0.607353881255,0.607406960565,0.362017188444,0.362107169844,0.607353881255,0.607406960565,0.362017188444,0.499915236322,0.500085088796,0.500158570825,0.499841039219,0.675964009714,0.20754035057,0.207640033195,0.675932893912,0.362018573958,0.607406693783,0.607459737293,0.361928622832,0.362018573958,0.607406693783,0.607459737293,0.361928622832,0.362018573958,0.607406693783,0.607459737293,0.361928622832
0.07,0.999999965738,-0.000147193683232,0.000216448808979,2.7607163978e-06,0.499963974845,0.500033230074,0.500183184576,0.499819541981,0.499963974845,0.500033230074,0.500183184576,0.499819541981,0.499944396014,0.500052822382,0.500163597374,0.499839125703,0.675830244325,0.207968038731,0.208115198356,0.675789049878,0.362382149634,0.607187287338,0.607268934906,0.362252972963,0.362382149634,0.607187287338,0.607268934906,0.362252972963,0.362382149634,0.607187287338,0.607268934906,0.362252972963,0.499944390579,0.50005282782,0.500163591937,0.499839131139,0.675879343646,0.20780841445,0.2079555691,0.675838188472,0.362249304152,0.607266552615,0.607348164039,0.362120122826,0.362249304152,0.607266552615,0.607348164039,0.362120122826,0.362249304152,0.607266552615,0.607348164039,0.362120122826,0.499945790754,0.500051426733,0.50016499271,0.499837730666,0.675746080032,0.208241346499,0.208392260897,0.675703664729,0.362607055805,0.607053001105,0.607136720879,0.362474521987,0.362607055805,0.607053001105,0.607136720879,0.362474521987,0.362607055805,0.607053001105,0.607136720879,0.362474521987,0.499945763469,0.500051454035,0.500164965414,0.499837757956,0.675795913542,0.208079567316,0.20823041808,0.67575355707,0.362472422815,0.607133400327,0.607217051121,0.362339936708,0.362472422815,0.607133400327,0.607217051121,0.362339936708,0.362472422815,0.607133400327,0.607217051121,0.362339936708
0.08,0.999999966207,-0.000205408019207,0.000159159295258,7.80734577648e-06,0.50001920369,0.499972955069,0.500186170536,0.499821603119,0.50001920369,0.499972955069,0.500186170536,0.499821603119,0.499990839944,0.500001337893,0.500157798202,0.499849976469,0.67560167739,0.208697272217,0.208901401819,0.675550165713,0.363008689149,0.606808758609,0.606926156774,0.362833932124,0.363008689149,0.606808758609,0.606926156774,0.362833932124,0.363008689149,0.606808758609,0.606926156774,0.362833932124,0.499990829482,0.500001348361,0.500157787736,0.499849986934,0.675668904946,0.208479516544,0.208683634453,0.675617467789,0.36282274427,0.606919956971,0.607037286396,0.362647976688,0.36282274427,0.606919956971,0.607037286396,0.362647976688,0.36282274427,0.606919956971,0.607037286396,0.362647976688,0.499994756008,0.499997419387,0.500161715451,0.499846059271,0.675540243831,0.208896037285,0.209110736982,0.675485398991,0.363178805062,0.606706956432,0.606830094458,0.362994574383,0.363178805062,0.606706956432,0.606830094458,0.362994574383,0.363178805062,0.606706956432,0.606830094458,0.362994574383,0.499994711988,0.499997463434,0.500161671418,0.499846103304,0.675609572961,0.208671704792,0.208886303689,0.675554836171,0.362987449475,0.606821462195,0.606944478178,0.362803286855,0.362987449475,0.606821462195,0.606944478178,0.362803286855,0.362987449475,0.606821462195,0.606944478178,0.362803286855
0.09,0.999999960065,-0.000272459632308,7.35546980815e-05,1.49907539692e-05,0.50009193702,0.499893032189,0.500180482677,0.499834468244,0.50009193702,0.499893032189,0.500180482677,0.499834468244,0.500053732458,0.499931260276,0.500142273639,0.499872689565,0.675342462081,0.209517443803,0.209788491858,0.675280525661,0.363728090943,0.606371895956,0.606532645709,0.363501237058,0.363728090943,0.606371895956,0.606532645709,0.363501237058,0.363728090943,0.606371895956,0.606532645709,0.363501237058,0.500053714006,0.499931278738,0.500142255185,0.499872708023,0.67543045882,0.209233591114,0.209504615314,0.675368651782,0.36348012678,0.606520566665,0.606681196825,0.363253251971,0.36348012678,0.606520566665,0.606681196825,0.363253251971,0.36348012678,0.606520566665,0.606681196825,0.363253251971,0.500061240452,0.49992374812,0.500149782513,0.499865178738,0.675314970111,0.209606033505,0.209897358765,0.675246696139,0.363817139388,0.606318470133,0.606490177805,0.36357209201,0.363817139388,0.606318470133,0.606490177805,0.36357209201,0.363817139388,0.606318470133,0.606490177805,0.36357209201,0.500061173265,0.499923815345,0.500149715318,0.499865245952,0.6754070194,0.209309236064,0.209600409747,0.67533892978,0.363558547465,0.606473561437,0.606645066906,0.36331358995,0.363558547465,0.606473561437,0.606645066906,0.36331358995,0.363558547465,0.606473561437,0.606645066906,0.36331358995
