time,Jfl1_hip_roll,Jfl2_hip_pitch,Jfl3_knee,Jfr1_hip_roll,Jfr2_hip_pitch,Jfr3_knee,Jrl1_hip_roll,Jrl2_hip_pitch,Jrl3_knee,Jrr1_hip_roll,Jrr2_hip_pitch,Jrr3_knee
0,9.36017052209e-19,3.5527136788e-15,-7.1054273576e-15,-4.73389015273e-19,-3.5527136788e-15,7.1054273576e-15,-1.10372134364e-20,2.36847578587e-14,-4.73695157173e-14,-1.96206018232e-17,-2.36847578587e-14,4.73695157173e-14
0.01,-0.000338681798126,0.0280689741644,-0.0666984534467,-0.00033867702091,-0.027136199872,0.0637787756266,-0.000232376572742,0.00251785801439,-0.0180352461284,-0.000232378436363,-0.00234637790679,0.0165654116044
0.02,-0.000840512034023,0.0631486179258,-0.127092812481,-0.000840441659249,-0.0605522077561,0.118712453575,-0.000876119352753,0.034844758162,-0.0731961996254,-0.000876146278474,-0.0345321380302,0.0691652681489
0.03,-0.002340906541,0.0989564820062,-0.183382414415,-0.0023405213393,-0.0953308417928,0.168761222845,-0.00151613284254,0.0767230910947,-0.141064905364,-0.00151629785782,-0.078219346894,0.136197277371
0.04,-0.00446769320985,0.133971142784,-0.23567177484,-0.00446653616198,-0.129873592355,0.215953651254,-0.00149142431082,0.122460778632,-0.213794012123,-0.00149198153046,-0.126255762244,0.209100499396
0.05,-0.00589250514725,0.166237516871,-0.284115753216,-0.00589006989573,-0.161319200113,0.259826265152,-0.00157809843365,0.168399531874,-0.288281059106,-0.00157932396366,-0.173340292052,0.282747633329
0.06,-0.00607776288351,0.194806512695,-0.32574044282,-0.00607389175191,-0.188269072818,0.298079967429,-0.00154908873161,0.212256305688,-0.358999175057,-0.00155096379924,-0.215734553551,0.35037181467
0.07,-0.00525598769682,0.221084442816,-0.365567508675,-0.00525054379678,-0.212131789551,0.334051606751,-0.00201572232497,0.251991374406,-0.424403064588,-0.00201812614262,-0.252532501997,0.410901441085
0.08,-0.0045125961111,0.245003335623,-0.403445047253,-0.0045053029836,-0.233427146639,0.367711857917,-0.00239037644673,0.287653444897,-0.484561321796,-0.00239331262563,-0.285036896157,0.465798741867
0.09,-0.00471362134571,0.265784942667,-0.437535731874,-0.00470372524875,-0.252022887615,0.397134813515,-0.00246619668479,0.318193752591,-0.537124976127,-0.00247003621613,-0.313712670235,0.514275491802
